a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,m11,n12,o13,p14,q15,r16,s17,s18,t19,
380,mstr,21561355,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21619920,,,,,381,381,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
381,mstr,21619920,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21678485,,,,,382,382,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
382,mstr,21678485,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21737050,,,,,383,383,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
383,mstr,21737050,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21795615,,,,,384,384,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
384,mstr,21795615,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21854180,,,,,385,385,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
385,mstr,21854180,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21912745,,,,,386,386,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
386,mstr,21912745,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21971310,,,,,387,387,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
387,mstr,21971310,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22029875,,,,,388,388,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
388,mstr,22029875,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22088440,,,,,389,389,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
389,mstr,22088440,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22147005,,,,,390,390,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
390,mstr,22147005,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22205570,,,,,391,391,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
391,mstr,22205570,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22264135,,,,,392,392,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
392,mstr,22264135,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22322700,,,,,393,393,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
393,mstr,22322700,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22381265,,,,,394,394,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
394,mstr,22381265,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22439830,,,,,395,395,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
395,mstr,22439830,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22498395,,,,,396,396,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
396,mstr,22498395,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22556960,,,,,397,397,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
397,mstr,22556960,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22615525,,,,,398,398,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
398,mstr,22615525,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22674090,,,,,399,399,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
399,mstr,22674090,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22732655,,,,,400,400,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
400,mstr,22732655,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22791220,,,,,401,401,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
401,mstr,22791220,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22849785,,,,,402,402,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
402,mstr,22849785,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22908350,,,,,403,403,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
403,mstr,22908350,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22966915,,,,,404,404,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
404,mstr,22966915,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23025480,,,,,405,405,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
405,mstr,23025480,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23084045,,,,,406,406,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
406,mstr,23084045,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23142610,,,,,407,407,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
407,mstr,23142610,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23201175,,,,,408,408,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
408,mstr,23201175,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23259740,,,,,409,409,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
409,mstr,23259740,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23318305,,,,,410,410,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
410,mstr,23318305,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23376870,,,,,411,411,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
411,mstr,23376870,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23435435,,,,,412,412,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
412,mstr,23435435,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23494000,,,,,413,413,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
413,mstr,23494000,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23552565,,,,,414,414,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
414,mstr,23552565,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23611130,,,,,415,415,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
415,mstr,23611130,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23669695,,,,,416,416,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
416,mstr,23669695,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23728260,,,,,417,417,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
417,mstr,23728260,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23786825,,,,,418,418,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
418,mstr,23786825,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23845390,,,,,419,419,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
419,mstr,23845390,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23903955,,,,,420,420,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
420,mstr,23903955,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23962520,,,,,421,421,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
421,mstr,23962520,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24021085,,,,,422,422,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
422,mstr,24021085,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24079650,,,,,423,423,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
423,mstr,24079650,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24138215,,,,,424,424,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
424,mstr,24138215,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24196780,,,,,425,425,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
425,mstr,24196780,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24255345,,,,,426,426,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
426,mstr,24255345,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24313910,,,,,427,427,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
427,mstr,24313910,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24372475,,,,,428,428,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
428,mstr,24372475,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24431040,,,,,429,429,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
429,mstr,24431040,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24489605,,,,,430,430,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
430,mstr,24489605,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24548170,,,,,431,431,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
431,mstr,24548170,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24606735,,,,,432,432,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
432,mstr,24606735,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24665300,,,,,433,433,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
433,mstr,24665300,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24723865,,,,,434,434,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
434,mstr,24723865,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24782430,,,,,435,435,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
435,mstr,24782430,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24840995,,,,,436,436,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
436,mstr,24840995,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24899560,,,,,437,437,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
437,mstr,24899560,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24958125,,,,,438,438,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
438,mstr,24958125,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25016690,,,,,439,439,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
439,mstr,25016690,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25075255,,,,,440,440,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
440,mstr,25075255,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25133820,,,,,441,441,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
441,mstr,25133820,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25192385,,,,,442,442,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
442,mstr,25192385,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25250950,,,,,443,443,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
443,mstr,25250950,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25309515,,,,,444,444,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
444,mstr,25309515,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25368080,,,,,445,445,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
445,mstr,25368080,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25426645,,,,,446,446,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
446,mstr,25426645,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25485210,,,,,447,447,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
447,mstr,25485210,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25543775,,,,,448,448,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
448,mstr,25543775,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25602340,,,,,449,449,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
449,mstr,25602340,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25660905,,,,,450,450,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
450,mstr,25660905,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25719470,,,,,451,451,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
451,mstr,25719470,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25778035,,,,,452,452,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
452,mstr,25778035,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25836600,,,,,453,453,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
453,mstr,25836600,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25895165,,,,,454,454,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
454,mstr,25895165,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25953730,,,,,455,455,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
455,mstr,25953730,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26012295,,,,,456,456,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
456,mstr,26012295,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26070860,,,,,457,457,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
457,mstr,26070860,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26129425,,,,,458,458,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
458,mstr,26129425,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26187990,,,,,459,459,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
459,mstr,26187990,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26246555,,,,,460,460,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
460,mstr,26246555,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26305120,,,,,461,461,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
461,mstr,26305120,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26363685,,,,,462,462,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
462,mstr,26363685,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26422250,,,,,463,463,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
463,mstr,26422250,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26480815,,,,,464,464,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
464,mstr,26480815,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26539380,,,,,465,465,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
465,mstr,26539380,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26597945,,,,,466,466,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
466,mstr,26597945,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26656510,,,,,467,467,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
467,mstr,26656510,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26715075,,,,,468,468,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
468,mstr,26715075,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26773640,,,,,469,469,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
469,mstr,26773640,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26832205,,,,,470,470,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
470,mstr,26832205,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26890770,,,,,471,471,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
471,mstr,26890770,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26949335,,,,,472,472,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
472,mstr,26949335,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27007900,,,,,473,473,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
473,mstr,27007900,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27066465,,,,,474,474,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
474,mstr,27066465,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27125030,,,,,475,475,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
475,mstr,27125030,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27183595,,,,,476,476,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
476,mstr,27183595,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27242160,,,,,477,477,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
477,mstr,27242160,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27300725,,,,,478,478,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
478,mstr,27300725,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27359290,,,,,479,479,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
479,mstr,27359290,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27417855,,,,,480,480,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
480,mstr,27417855,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27476420,,,,,481,481,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
481,mstr,27476420,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27534985,,,,,482,482,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
482,mstr,27534985,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27593550,,,,,483,483,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
483,mstr,27593550,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27652115,,,,,484,484,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
484,mstr,27652115,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27710680,,,,,485,485,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
485,mstr,27710680,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27769245,,,,,486,486,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
486,mstr,27769245,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27827810,,,,,487,487,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
487,mstr,27827810,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27886375,,,,,488,488,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
488,mstr,27886375,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27944940,,,,,489,489,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
489,mstr,27944940,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28003505,,,,,490,490,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
490,mstr,28003505,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28062070,,,,,491,491,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
491,mstr,28062070,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28120635,,,,,492,492,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
492,mstr,28120635,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28179200,,,,,493,493,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
493,mstr,28179200,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28237765,,,,,494,494,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
494,mstr,28237765,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28296330,,,,,495,495,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
495,mstr,28296330,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28354895,,,,,496,496,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
496,mstr,28354895,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28413460,,,,,497,497,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
497,mstr,28413460,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28472025,,,,,498,498,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
498,mstr,28472025,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28530590,,,,,499,499,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
499,mstr,28530590,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28589155,,,,,500,500,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
500,mstr,28589155,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28647720,,,,,501,501,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
501,mstr,28647720,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28706285,,,,,502,502,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
502,mstr,28706285,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28764850,,,,,503,503,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
503,mstr,28764850,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28823415,,,,,504,504,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
504,mstr,28823415,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,28881980,,,,,505,505,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
