a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,
382,mstr,20570350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20628800,,,,,,383,383,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
383,mstr,20628800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20687250,,,,,,384,384,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
384,mstr,20687250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20745700,,,,,,385,385,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
385,mstr,20745700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20804150,,,,,,386,386,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
386,mstr,20804150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20862600,,,,,,387,387,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
387,mstr,20862600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20921050,,,,,,388,388,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
388,mstr,20921050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20979500,,,,,,389,389,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
389,mstr,20979500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21037950,,,,,,390,390,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
390,mstr,21037950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21096400,,,,,,391,391,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
391,mstr,21096400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21154850,,,,,,392,392,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
392,mstr,21154850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21213300,,,,,,393,393,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
393,mstr,21213300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21271750,,,,,,394,394,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
394,mstr,21271750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21330200,,,,,,395,395,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
395,mstr,21330200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21388650,,,,,,396,396,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
396,mstr,21388650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21447100,,,,,,397,397,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
397,mstr,21447100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21505550,,,,,,398,398,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
398,mstr,21505550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21564000,,,,,,399,399,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
399,mstr,21564000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21622450,,,,,,400,400,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
400,mstr,21622450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21680900,,,,,,401,401,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
401,mstr,21680900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21739350,,,,,,402,402,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
402,mstr,21739350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21797800,,,,,,403,403,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
403,mstr,21797800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21856250,,,,,,404,404,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
404,mstr,21856250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21914700,,,,,,405,405,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
405,mstr,21914700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21973150,,,,,,406,406,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
406,mstr,21973150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22031600,,,,,,407,407,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
407,mstr,22031600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22090050,,,,,,408,408,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
408,mstr,22090050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22148500,,,,,,409,409,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
409,mstr,22148500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22206950,,,,,,410,410,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
410,mstr,22206950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22265400,,,,,,411,411,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
411,mstr,22265400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22323850,,,,,,412,412,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
412,mstr,22323850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22382300,,,,,,413,413,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
413,mstr,22382300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22440750,,,,,,414,414,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
414,mstr,22440750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22499200,,,,,,415,415,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
415,mstr,22499200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22557650,,,,,,416,416,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
416,mstr,22557650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22616100,,,,,,417,417,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
417,mstr,22616100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22674550,,,,,,418,418,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
418,mstr,22674550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22733000,,,,,,419,419,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
419,mstr,22733000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22791450,,,,,,420,420,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
420,mstr,22791450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22849900,,,,,,421,421,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
421,mstr,22849900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22908350,,,,,,422,422,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
422,mstr,22908350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,22966800,,,,,,423,423,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
423,mstr,22966800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23025250,,,,,,424,424,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
424,mstr,23025250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23083700,,,,,,425,425,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
425,mstr,23083700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23142150,,,,,,426,426,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
426,mstr,23142150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23200600,,,,,,427,427,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
427,mstr,23200600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23259050,,,,,,428,428,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
428,mstr,23259050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23317500,,,,,,429,429,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
429,mstr,23317500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23375950,,,,,,430,430,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
430,mstr,23375950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23434400,,,,,,431,431,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
431,mstr,23434400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23492850,,,,,,432,432,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
432,mstr,23492850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23551300,,,,,,433,433,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
433,mstr,23551300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23609750,,,,,,434,434,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
434,mstr,23609750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23668200,,,,,,435,435,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
435,mstr,23668200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23726650,,,,,,436,436,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
436,mstr,23726650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23785100,,,,,,437,437,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
437,mstr,23785100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23843550,,,,,,438,438,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
438,mstr,23843550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23902000,,,,,,439,439,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
439,mstr,23902000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,23960450,,,,,,440,440,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
440,mstr,23960450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24018900,,,,,,441,441,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
441,mstr,24018900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24077350,,,,,,442,442,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
442,mstr,24077350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24135800,,,,,,443,443,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
443,mstr,24135800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24194250,,,,,,444,444,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
444,mstr,24194250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24252700,,,,,,445,445,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
445,mstr,24252700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24311150,,,,,,446,446,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
446,mstr,24311150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24369600,,,,,,447,447,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
447,mstr,24369600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24428050,,,,,,448,448,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
448,mstr,24428050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24486500,,,,,,449,449,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
449,mstr,24486500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24544950,,,,,,450,450,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
450,mstr,24544950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24603400,,,,,,451,451,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
451,mstr,24603400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24661850,,,,,,452,452,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
452,mstr,24661850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24720300,,,,,,453,453,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
453,mstr,24720300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24778750,,,,,,454,454,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
454,mstr,24778750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24837200,,,,,,455,455,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
455,mstr,24837200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24895650,,,,,,456,456,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
456,mstr,24895650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,24954100,,,,,,457,457,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
457,mstr,24954100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25012550,,,,,,458,458,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
458,mstr,25012550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25071000,,,,,,459,459,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
459,mstr,25071000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25129450,,,,,,460,460,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
460,mstr,25129450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25187900,,,,,,461,461,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
461,mstr,25187900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25246350,,,,,,462,462,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
462,mstr,25246350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25304800,,,,,,463,463,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
463,mstr,25304800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25363250,,,,,,464,464,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
464,mstr,25363250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25421700,,,,,,465,465,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
465,mstr,25421700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25480150,,,,,,466,466,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
466,mstr,25480150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25538600,,,,,,467,467,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
467,mstr,25538600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25597050,,,,,,468,468,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
468,mstr,25597050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25655500,,,,,,469,469,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
469,mstr,25655500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25713950,,,,,,470,470,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
470,mstr,25713950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25772400,,,,,,471,471,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
471,mstr,25772400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25830850,,,,,,472,472,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
472,mstr,25830850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25889300,,,,,,473,473,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
473,mstr,25889300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,25947750,,,,,,474,474,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
474,mstr,25947750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26006200,,,,,,475,475,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
475,mstr,26006200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26064650,,,,,,476,476,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
476,mstr,26064650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26123100,,,,,,477,477,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
477,mstr,26123100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26181550,,,,,,478,478,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
478,mstr,26181550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26240000,,,,,,479,479,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
479,mstr,26240000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26298450,,,,,,480,480,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
480,mstr,26298450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26356900,,,,,,481,481,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
481,mstr,26356900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26415350,,,,,,482,482,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
482,mstr,26415350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26473800,,,,,,483,483,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
483,mstr,26473800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26532250,,,,,,484,484,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
484,mstr,26532250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26590700,,,,,,485,485,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
485,mstr,26590700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26649150,,,,,,486,486,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
486,mstr,26649150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26707600,,,,,,487,487,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
487,mstr,26707600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26766050,,,,,,488,488,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
488,mstr,26766050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26824500,,,,,,489,489,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
489,mstr,26824500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26882950,,,,,,490,490,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
490,mstr,26882950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26941400,,,,,,491,491,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
491,mstr,26941400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,26999850,,,,,,492,492,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
492,mstr,26999850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27058300,,,,,,493,493,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
493,mstr,27058300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27116750,,,,,,494,494,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
494,mstr,27116750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27175200,,,,,,495,495,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
495,mstr,27175200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27233650,,,,,,496,496,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
496,mstr,27233650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27292100,,,,,,497,497,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
497,mstr,27292100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27350550,,,,,,498,498,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
498,mstr,27350550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27409000,,,,,,499,499,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
499,mstr,27409000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27467450,,,,,,500,500,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
500,mstr,27467450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27525900,,,,,,501,501,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
501,mstr,27525900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27584350,,,,,,502,502,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
502,mstr,27584350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27642800,,,,,,503,503,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
503,mstr,27642800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27701250,,,,,,504,504,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
504,mstr,27701250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27759700,,,,,,505,505,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
505,mstr,27759700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27818150,,,,,,506,506,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
506,mstr,27818150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27876600,,,,,,507,507,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
507,mstr,27876600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,27935050,,,,,,508,508,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
